data_referencia,valor,ic_inferior,ic_superior,variavel,tipo,data_previsao
2025-11-01,0.3768458157508312,0.17825347099995592,0.6271591777264842,IPCA,Ridge,2025-12-04 00:01:48.010886
2025-12-01,0.6647947897522619,0.4451914019323962,0.9227344337169234,IPCA,Ridge,2025-12-04 00:01:48.010886
2026-01-01,0.48437888577869614,0.269819753796731,0.722977974747429,IPCA,Ridge,2025-12-04 00:01:48.010886
2026-02-01,0.5857068254992313,0.3776082101296563,0.8196634357812618,IPCA,Ridge,2025-12-04 00:01:48.010886
2026-03-01,0.5239879093852198,0.31385001856332134,0.7655224620283567,IPCA,Ridge,2025-12-04 00:01:48.010886
2026-04-01,0.4556827407442374,0.2459964066204947,0.683604449825334,IPCA,Ridge,2025-12-04 00:01:48.010886
2026-05-01,0.4586964006539076,0.24245000812402298,0.7022189937020432,IPCA,Ridge,2025-12-04 00:01:48.010886
2026-06-01,0.28256283227351275,0.07335859751048952,0.5218087128948791,IPCA,Ridge,2025-12-04 00:01:48.010886
2026-07-01,0.2872488172133103,0.07125967833361772,0.5285376020550945,IPCA,Ridge,2025-12-04 00:01:48.010886
2026-08-01,0.20932346821089576,0.009558385643112318,0.45038589815238994,IPCA,Ridge,2025-12-04 00:01:48.010886
2026-09-01,0.29658938902156873,0.09303824011475435,0.5276052801931956,IPCA,Ridge,2025-12-04 00:01:48.010886
2026-10-01,0.5097551972575152,0.2933672137809728,0.7384776925647152,IPCA,Ridge,2025-12-04 00:01:48.010886
2025-11-01,0.36092050619972915,0.1576873238399041,0.6014426471881023,IPCA,Huber,2025-12-04 00:03:07.595464
2025-12-01,0.6744197061827479,0.45587050357431874,0.9238327860618737,IPCA,Huber,2025-12-04 00:03:07.595464
2026-01-01,0.4769147334080541,0.25355182681792654,0.7165325881397714,IPCA,Huber,2025-12-04 00:03:07.595464
2026-02-01,0.5742073285463258,0.36218409584065014,0.8119121130367906,IPCA,Huber,2025-12-04 00:03:07.595464
2026-03-01,0.519517062020918,0.3146564203816251,0.7526499447512668,IPCA,Huber,2025-12-04 00:03:07.595464
2026-04-01,0.45377500351934374,0.24054273040534505,0.687283553291526,IPCA,Huber,2025-12-04 00:03:07.595464
2026-05-01,0.4631023396321512,0.24641672903593814,0.7043411154352588,IPCA,Huber,2025-12-04 00:03:07.595464
2026-06-01,0.27274134987333,0.07029893476691293,0.5087619619923276,IPCA,Huber,2025-12-04 00:03:07.595464
2026-07-01,0.2894002863903469,0.07788569423660233,0.5277774514788739,IPCA,Huber,2025-12-04 00:03:07.595464
2026-08-01,0.21509055175511582,0.00863076513573177,0.45934745049677245,IPCA,Huber,2025-12-04 00:03:07.595464
2026-09-01,0.3090556713912398,0.10968463099186364,0.5441485778129943,IPCA,Huber,2025-12-04 00:03:07.595464
2026-10-01,0.5241800003455792,0.2964899839697931,0.7573139030727948,IPCA,Huber,2025-12-04 00:03:07.595464
2025-11-01,0.3768458157508312,0.17825347099995592,0.6271591777264842,IPCA,Ridge,2025-12-04 00:10:48.445618
2025-12-01,0.6647947897522619,0.4451914019323962,0.9227344337169234,IPCA,Ridge,2025-12-04 00:10:48.445618
2026-01-01,0.48437888577869614,0.269819753796731,0.722977974747429,IPCA,Ridge,2025-12-04 00:10:48.445618
2026-02-01,0.5857068254992313,0.3776082101296563,0.8196634357812618,IPCA,Ridge,2025-12-04 00:10:48.445618
2026-03-01,0.5239879093852198,0.31385001856332134,0.7655224620283567,IPCA,Ridge,2025-12-04 00:10:48.445618
2026-04-01,0.4556827407442374,0.2459964066204947,0.683604449825334,IPCA,Ridge,2025-12-04 00:10:48.445618
2026-05-01,0.4586964006539076,0.24245000812402298,0.7022189937020432,IPCA,Ridge,2025-12-04 00:10:48.445618
2026-06-01,0.28256283227351275,0.07335859751048952,0.5218087128948791,IPCA,Ridge,2025-12-04 00:10:48.445618
2026-07-01,0.2872488172133103,0.07125967833361772,0.5285376020550945,IPCA,Ridge,2025-12-04 00:10:48.445618
2026-08-01,0.20932346821089576,0.009558385643112318,0.45038589815238994,IPCA,Ridge,2025-12-04 00:10:48.445618
2026-09-01,0.29658938902156873,0.09303824011475435,0.5276052801931956,IPCA,Ridge,2025-12-04 00:10:48.445618
2026-10-01,0.5097551972575152,0.2933672137809728,0.7384776925647152,IPCA,Ridge,2025-12-04 00:10:48.445618
2025-11-01,0.36092050619972915,0.1576873238399041,0.6014426471881023,IPCA,Huber,2025-12-04 00:11:00.744270
2025-12-01,0.6744197061827479,0.45587050357431874,0.9238327860618737,IPCA,Huber,2025-12-04 00:11:00.744270
2026-01-01,0.4769147334080541,0.25355182681792654,0.7165325881397714,IPCA,Huber,2025-12-04 00:11:00.744270
2026-02-01,0.5742073285463258,0.36218409584065014,0.8119121130367906,IPCA,Huber,2025-12-04 00:11:00.744270
